Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
ARI,4.59,,162,6230,5568,743,1400,289,29,220,47,31,516,1427,.251,.320,.432,.752,.298,2407,113,62,39,39,38,41
ATL,4.59,,162,6243,5557,743,1421,253,23,203,76,20,548,1393,.256,.329,.419,.748,.305,2329,134,69,39,27,33,42
BAL,6.06,,162,6396,5697,981,1544,311,31,305,82,25,561,1248,.271,.342,.497,.839,.296,2832,134,80,10,46,11,59
BOS,5.11,,162,6400,5660,828,1423,319,26,215,70,31,605,1633,.251,.330,.431,.761,.314,2439,97,76,18,38,22,47
CHC,4.43,,162,6190,5492,717,1376,265,25,195,91,25,534,1444,.251,.323,.414,.738,.303,2276,133,80,29,49,16,55
CHW,5.17,,161,6159,5466,832,1438,278,19,238,76,26,582,1312,.263,.337,.452,.789,.303,2468,149,51,20,38,30,63
CIN,4.39,,162,6057,5395,711,1270,260,19,214,88,26,536,1552,.235,.310,.410,.719,.289,2210,105,58,36,31,31,44
CLE,4.06,,162,6008,5449,657,1308,315,20,207,53,28,450,1508,.240,.304,.419,.723,.293,2284,89,62,17,30,19,43
COL,5.91,,162,6423,5692,958,1576,325,44,270,75,30,589,1264,.277,.348,.492,.840,.311,2799,139,57,42,43,33,57
DET,5.68,,161,6341,5664,915,1555,315,44,250,97,37,536,1368,.275,.342,.478,.820,.319,2708,107,69,25,46,24,59
HOU,3.95,,162,5995,5461,640,1205,233,21,230,75,17,448,1671,.221,.283,.397,.681,.272,2170,83,41,11,30,0,34
KCR,5.36,,162,6307,5576,869,1525,299,28,221,57,27,582,1230,.273,.348,.456,.804,.312,2543,133,81,18,49,25,42
LAA,5.36,,162,6289,5575,868,1417,284,28,267,99,35,576,1404,.254,.331,.459,.789,.291,2558,106,82,12,43,11,50
LAD,3.78,,162,5913,5387,613,1201,239,24,185,63,17,392,1519,.223,.282,.379,.661,.273,2043,106,66,30,36,24,60
MIA,4.99,,162,6247,5473,808,1340,281,27,236,57,24,615,1378,.245,.329,.435,.764,.283,2383,113,90,29,39,52,45
MIL,4.73,,162,6251,5542,766,1364,247,36,225,94,34,570,1497,.246,.321,.425,.747,.296,2358,108,60,43,34,28,54
MIN,4.65,,162,6246,5671,754,1456,282,23,198,71,16,452,1463,.257,.316,.419,.736,.311,2378,107,61,20,40,10,59
NYM,4.55,,162,6232,5601,737,1405,287,19,204,139,22,500,1520,.251,.317,.418,.735,.307,2342,116,60,35,35,40,52
NYY,4.56,,162,6133,5535,739,1374,277,18,248,71,24,507,1534,.248,.314,.439,.754,.297,2431,119,44,7,36,12,48
OAK,4.20,,162,6153,5541,680,1342,249,23,201,83,41,477,1299,.242,.308,.404,.712,.279,2240,114,66,25,42,19,49
PHI,4.90,,162,6274,5571,794,1452,249,23,258,66,50,546,1392,.261,.332,.453,.785,.301,2521,116,71,46,40,38,58
PIT,5.62,,162,6391,5648,911,1511,351,34,241,71,29,584,1443,.268,.343,.470,.813,.318,2653,114,85,34,36,22,61
SDP,4.87,,162,6160,5551,789,1394,302,22,215,58,18,463,1475,.251,.315,.430,.744,.303,2385,86,68,43,35,19,57
SEA,5.51,,162,6268,5652,893,1484,336,24,260,83,26,505,1239,.263,.326,.469,.795,.291,2648,132,51,12,46,25,77
SFG,4.77,,162,6256,5597,773,1395,244,37,227,88,33,519,1368,.249,.318,.428,.746,.289,2394,124,65,41,33,26,54
STL,4.09,,162,6068,5389,662,1284,246,19,191,34,19,545,1399,.238,.314,.397,.711,.285,2141,139,69,27,38,41,39
TBR,4.05,,162,6086,5531,656,1274,264,26,181,75,35,453,1621,.230,.294,.386,.680,.291,2133,107,60,11,28,27,52
TEX,5.42,,162,6354,5629,878,1515,310,32,241,81,26,583,1379,.269,.342,.464,.806,.314,2612,131,70,19,50,11,54
TOR,5.11,,162,6313,5590,828,1450,340,23,228,74,36,604,1332,.259,.337,.451,.788,.301,2520,111,69,11,36,25,54
WSN,4.47,,162,6134,5491,724,1340,281,18,202,86,24,517,1511,.244,.314,.412,.726,.298,2263,98,61,27,37,41,49
LgAvg,4.83,,162,6217,5555,782,1401,284,26,226,76,28,530,1427,.252,.323,.435,.758,.298,2416,115,66,26,38,25,52
,4.83,,4858,186517,166651,23467,42039,8531,785,6776,2280,832,15895,42823,.252,.323,.435,.758,.298,72468,3463,1984,776,1150,753,1558
